Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,l01,Ethernet1,spine,s01,Ethernet1,True
l3leaf,l01,Ethernet2,spine,s02,Ethernet1,True
l3leaf,l01,Ethernet10,server,h01,,True
l3leaf,l02,Ethernet1,spine,s01,Ethernet2,True
l3leaf,l02,Ethernet2,spine,s02,Ethernet2,True
l3leaf,l02,Ethernet10,server,h01,,True
spine,s01,Ethernet1,l3leaf,l01,Ethernet1,True
spine,s01,Ethernet2,l3leaf,l02,Ethernet1,True
spine,s02,Ethernet1,l3leaf,l01,Ethernet2,True
spine,s02,Ethernet2,l3leaf,l02,Ethernet2,True
